State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
NY,2,34.0,24.2,92.0,29.36,5.0,15.0,0.09
VT,2,33.1,26.9,64.0,29.87,9.0,6.9,0.0
MI,2,27.0,15.2,89.0,29.82,2.5,15.0,0.0
NY,3,36.0,26.0,97.0,29.8,6.0,17.3,0.0
NJ,2,33.1,23.4,100.0,29.55,0.2,13.8,0.01
NY,2,33.1,20.6,92.0,29.54,0.2,23.0,0.01
NY,2,33.1,20.1,100.0,29.52,2.0,25.3,0.0
MI,2,30.0,20.0,69.0,29.95,9.0,12.7,0.0
GA,2,44.1,42.5,96.0,29.79,2.0,3.5,0.03
MA,2,30.0,17.2,92.0,29.45,0.5,20.7,0.02
NY,3,30.9,27.5,92.0,29.66,0.5,3.5,0.13
AZ,2,33.1,18.9,85.0,29.82,2.0,31.1,0.0
PA,2,28.4,16.6,93.0,29.64,0.8,16.1,0.06
IN,2,30.0,20.0,85.0,29.83,9.0,12.7,0.0
IN,3,37.9,28.5,97.0,29.96,2.5,17.3,0.09
SC,2,45.0,39.3,80.0,29.99,10.0,11.5,0.0
CA,3,44.6,40.2,87.0,30.09,5.0,8.1,0.03
WA,2,42.1,35.2,96.0,30.28,10.0,12.7,0.0
NC,2,46.0,42.5,71.0,30.36,10.0,6.9,0.0
MI,2,15.1,-0.1,68.0,30.46,2.0,15.0,0.0
OH,2,18.0,4.2,57.0,30.41,10.0,13.8,0.0
WI,2,16.0,7.4,77.0,30.07,10.0,5.8,0.0
WI,4,28.0,24.2,96.0,29.75,0.5,3.5,0.04
GA,3,43.0,41.3,71.0,30.31,10.0,3.5,0.0
MI,2,19.0,9.0,71.0,30.3,2.0,8.1,0.0
OH,2,28.9,20.4,92.0,30.11,2.5,9.2,0.0
OH,2,23.0,11.7,88.0,30.14,3.0,11.5,0.01
CT,2,28.9,18.6,85.0,30.26,6.0,12.7,0.01
PA,4,30.0,24.1,100.0,30.19,2.0,5.8,0.01
OH,2,21.9,9.8,89.0,30.17,4.0,12.7,0.0
VA,2,42.1,37.7,96.0,29.98,2.5,6.9,0.01
MI,4,19.0,9.0,88.0,30.26,0.8,8.1,0.04
MI,2,18.0,7.7,88.0,30.3,0.5,8.1,0.04
NY,2,23.0,11.7,68.0,30.48,2.5,11.5,0.0
IA,2,19.9,4.3,85.0,30.13,1.5,19.6,0.0
IL,2,26.1,16.8,88.0,30.17,0.8,9.2,0.03
MI,2,27.0,21.6,89.0,29.79,4.0,4.6,0.0
UT,4,36.0,33.3,82.0,30.06,3.0,3.5,0.0
NY,3,43.0,38.2,89.0,30.36,8.0,8.1,0.0
IL,2,37.0,28.9,100.0,30.0,5.0,12.7,0.05
IL,2,37.0,31.0,96.0,30.0,5.0,8.1,0.06
TX,2,34.0,25.0,96.0,30.24,10.0,12.7,0.01
MO,2,28.0,19.3,92.0,30.38,2.5,9.2,0.0
TX,2,37.9,29.6,97.0,30.22,5.0,13.8,0.02
NY,4,34.0,27.2,85.0,30.25,7.0,8.1,0.01
NY,2,37.9,32.1,93.0,30.61,7.0,8.1,0.03
NH,2,30.2,24.3,93.0,30.08,0.8,5.8,0.0
NJ,2,42.1,34.5,96.0,30.06,2.5,15.0,0.08
ID,2,26.6,17.5,93.0,30.02,1.5,9.2,0.0
MI,2,19.9,9.3,85.0,29.96,0.5,9.2,0.0
NY,2,17.1,3.6,81.0,29.54,1.0,12.7,0.0
IN,2,1.9,-13.8,76.0,30.25,10.0,10.4,0.0
NJ,2,23.0,8.3,88.0,29.51,0.8,19.6,0.0
NJ,2,21.9,5.8,89.0,29.45,0.2,23.0,0.01
RI,2,27.0,11.0,100.0,28.92,0.2,28.8,0.02
VA,2,24.1,9.4,84.0,29.68,1.0,20.7,0.01
NY,2,3.9,-18.5,70.0,30.04,3.0,24.2,0.0
NJ,2,28.9,18.6,61.0,30.08,9.0,12.7,0.0
CA,2,41.0,33.9,96.0,29.73,0.5,12.7,0.03
NY,4,30.0,17.2,85.0,29.52,2.5,20.7,0.0
IL,3,21.0,7.6,85.0,30.26,4.0,15.0,0.0
WI,3,21.0,9.3,85.0,30.24,2.0,11.5,0.01
CO,4,19.0,3.6,88.0,30.35,2.5,18.4,0.0
IL,2,16.0,2.3,81.0,30.45,7.0,12.7,0.0
MI,4,8.1,-4.3,87.0,30.5,9.0,8.1,0.0
NH,2,25.0,20.7,88.0,30.31,1.2,3.5,0.01
PA,4,25.0,14.2,81.0,30.41,6.0,11.5,0.0
OR,2,46.0,41.4,89.0,29.87,10.0,9.2,0.01
MI,3,42.1,39.2,100.0,29.83,2.5,4.6,0.0
MN,3,27.0,13.5,81.0,29.73,0.8,19.6,0.0
ME,2,24.1,16.0,96.0,30.0,1.2,6.9,0.0
ME,2,17.1,0.6,71.0,29.77,6.0,19.6,0.0
IL,4,28.0,21.7,81.0,30.2,7.0,5.8,0.0
WA,4,41.0,37.1,100.0,30.15,7.0,5.8,0.03
MI,2,28.0,17.5,88.0,30.24,1.0,12.7,0.01
MI,2,26.1,12.3,81.0,30.24,1.0,19.6,0.0
VA,2,43.0,36.0,97.0,30.08,8.0,13.8,0.0
NC,2,39.9,34.5,89.0,30.05,10.0,8.1,0.0
IL,3,23.0,13.1,63.0,30.48,9.0,9.2,0.0
NY,2,28.9,19.2,89.0,29.96,3.0,11.5,0.0
