Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,CA,46.9,,90.0,30.14,10.0,,
2,CA,52.0,,89.0,30.12,10.0,,
3,CA,59.0,,72.0,30.15,10.0,,
3,CA,60.1,,64.0,30.14,,,
3,MA,80.1,,56.0,29.84,10.0,11.5,0.0
2,MI,64.0,,52.0,29.98,10.0,5.8,
2,NY,64.0,,78.0,29.96,10.0,3.5,
3,VA,58.5,,88.0,30.09,10.0,,
3,MD,,,,,,,
2,IN,69.1,,75.0,29.88,10.0,11.5,
2,KY,75.9,,62.0,29.93,10.0,12.7,
2,NC,73.0,,59.0,30.06,10.0,6.9,
3,VA,75.9,,54.0,30.08,10.0,17.3,
2,NC,71.1,,68.0,30.15,10.0,15.0,
2,NC,84.0,,46.0,30.04,10.0,12.7,
2,NC,81.0,,45.0,30.01,10.0,12.7,
3,FL,79.0,,50.0,30.08,10.0,13.8,
2,SC,62.1,,86.0,30.18,10.0,3.5,
3,GA,55.0,,89.0,,10.0,,
2,SC,79.0,,52.0,30.19,10.0,4.6,
2,LA,66.9,,93.0,30.11,4.0,3.5,
3,TX,68.0,,78.0,30.13,10.0,5.8,
2,TX,61.0,,97.0,30.16,10.0,3.5,
2,TN,71.6,,73.0,30.07,10.0,4.6,
2,AL,84.9,,28.0,30.09,10.0,10.4,
2,AL,84.0,,43.0,30.09,10.0,3.5,
2,TX,78.8,,74.0,30.06,6.0,9.2,
2,UT,70.0,,31.0,30.19,10.0,4.6,
2,OR,55.0,,69.0,30.21,10.0,,
3,CA,84.9,,31.0,30.11,10.0,4.6,
2,CA,88.0,,26.0,30.06,10.0,8.1,
2,CA,69.1,,54.0,30.09,10.0,8.1,
3,CA,57.0,,87.0,30.14,10.0,,
2,CA,62.1,,65.0,30.14,10.0,,
3,CA,87.8,,17.0,30.01,10.0,9.2,
3,FL,84.0,,65.0,29.91,10.0,9.2,
3,FL,75.9,,85.0,29.99,10.0,8.1,
3,CA,51.1,,96.0,30.1,10.0,3.5,
2,CA,55.9,,67.0,30.0,7.0,,
3,MO,77.0,,43.0,30.01,10.0,5.8,
2,TX,82.9,,38.0,30.12,10.0,3.5,
3,CA,55.0,,74.0,30.04,10.0,10.4,
3,CA,78.1,,29.0,29.95,10.0,3.5,
3,RI,66.9,,52.0,30.11,10.0,10.4,
3,NJ,54.7,,85.0,30.03,10.0,,
2,NY,59.0,,75.0,30.04,10.0,6.9,
3,NY,66.9,,49.0,30.07,10.0,10.4,
3,OH,62.6,,39.0,30.17,20.0,16.1,
2,NC,78.1,,36.0,30.02,10.0,10.4,
3,NC,,,,,,,
2,NC,57.0,,96.0,30.13,10.0,4.6,
2,FL,73.0,,90.0,29.93,10.0,,
2,FL,78.1,,60.0,29.97,10.0,13.8,
3,FL,80.1,,76.0,29.91,10.0,11.5,
2,MN,84.7,,18.0,30.0,10.0,9.2,
2,IL,54.0,,69.0,30.22,9.0,3.5,
2,IL,73.0,,34.0,30.17,10.0,8.1,
3,LA,89.1,,29.0,30.06,10.0,6.9,
3,TN,64.9,,75.0,30.1,10.0,,
2,CA,86.0,,18.0,30.03,10.0,3.5,
3,CA,57.0,,93.0,30.05,4.0,4.6,
2,CA,62.6,,72.0,30.06,7.0,,
3,CA,66.9,,63.0,30.06,10.0,6.9,
3,CA,73.0,,49.0,29.99,10.0,3.5,
3,MA,64.0,,58.0,30.22,10.0,9.2,
2,MI,53.1,,64.0,30.19,10.0,8.1,
3,MI,77.0,,33.0,30.06,10.0,5.8,
2,NJ,50.0,,96.0,30.26,,,
2,PA,66.2,,56.0,30.27,10.0,,
2,PA,63.0,,72.0,30.25,10.0,,
2,NC,73.0,,41.0,30.11,10.0,5.8,
2,NC,69.8,,60.0,30.15,10.0,8.1,
2,FL,66.9,,81.0,30.04,10.0,4.6,
2,SC,69.8,,53.0,30.17,10.0,6.9,
2,SC,75.0,,50.0,30.14,10.0,6.9,
2,IL,64.0,,41.0,30.15,10.0,8.1,
2,LA,73.9,,66.0,30.09,10.0,5.8,
2,LA,91.0,,30.0,30.02,10.0,,
2,TX,84.9,,36.0,30.06,10.0,5.8,
2,OK,81.0,,45.0,29.86,10.0,18.4,
2,LA,78.1,,56.0,30.1,10.0,5.8,
2,LA,89.1,,30.0,30.05,10.0,4.6,
2,TX,77.0,,50.0,30.05,10.0,9.2,
2,TN,75.9,,46.0,30.13,10.0,4.6,
2,TN,75.9,,36.0,30.05,10.0,5.8,
2,LA,70.0,,78.0,30.06,10.0,6.9,
2,CA,57.0,,93.0,29.97,5.0,4.6,
3,CT,55.9,,80.0,30.19,10.0,,
2,MI,71.1,,36.0,29.88,10.0,13.8,
2,MA,54.0,,93.0,30.21,2.0,5.8,
2,NC,77.0,,42.0,30.13,10.0,3.5,
2,NC,79.0,,42.0,30.11,10.0,,
2,NC,69.1,,63.0,30.08,10.0,6.9,
2,VA,66.0,,63.0,30.17,10.0,,
2,NC,71.6,,46.0,30.17,10.0,8.1,
2,FL,87.3,,33.0,30.06,10.0,9.2,
3,FL,87.8,,35.0,30.05,10.0,8.1,
2,SC,80.1,,39.0,30.11,10.0,6.9,
2,LA,84.0,,46.0,30.09,10.0,4.6,
4,TX,79.0,,52.0,29.99,10.0,12.7,
2,OK,77.0,,54.0,29.9,10.0,12.7,
2,LA,89.1,,31.0,30.01,10.0,3.5,
2,AL,86.0,,48.0,30.05,10.0,9.2,
2,TX,67.6,,61.0,29.97,10.0,9.2,
2,TX,71.6,,42.0,29.97,10.0,8.1,
2,OK,91.9,,33.0,29.83,10.0,9.2,
2,UT,73.0,,25.0,29.88,10.0,5.8,
2,CA,59.0,,88.0,30.07,10.0,10.4,
3,CA,59.0,,87.0,30.1,10.0,8.1,
2,CA,71.6,,46.0,29.94,10.0,6.9,
2,MA,50.0,,100.0,30.06,3.0,8.1,
3,MA,72.0,,48.0,29.88,10.0,15.0,
2,DE,66.9,,76.0,29.97,10.0,12.7,
2,NJ,63.0,,81.0,29.82,3.0,,0.24
3,OH,66.0,,81.0,29.83,10.0,6.9,
2,SC,70.0,,73.0,30.01,10.0,,
2,SC,75.2,,61.0,30.11,10.0,5.8,
2,SC,73.4,,61.0,30.11,10.0,10.4,
3,GA,87.1,,36.0,30.02,10.0,15.0,
2,SC,89.1,,28.0,29.96,10.0,8.1,
2,SC,66.2,,68.0,30.14,10.0,8.1,
2,SC,90.0,,31.0,30.0,10.0,9.2,
2,IL,64.0,,63.0,29.95,10.0,10.4,
3,KY,84.2,,37.0,29.98,10.0,6.9,
2,LA,86.0,,35.0,30.04,10.0,10.4,
2,TN,68.0,,83.0,30.01,10.0,5.8,0.09
2,AL,89.1,,34.0,30.06,10.0,13.8,
2,AL,87.1,,37.0,30.04,10.0,10.4,
2,TX,71.6,,83.0,30.04,9.0,6.9,
2,TX,82.0,,51.0,30.08,10.0,12.7,
2,TX,82.9,,54.0,30.09,10.0,9.2,
2,TX,82.9,,44.0,30.0,10.0,15.0,
2,CO,73.0,,35.0,29.74,10.0,3.5,
3,CO,73.4,,36.0,29.89,50.0,,
3,UT,64.6,,39.0,29.77,10.0,4.6,
2,AZ,73.9,,25.0,29.71,10.0,8.1,
3,CA,57.0,,77.0,30.06,10.0,13.8,
2,CA,66.2,,,30.0,10.0,6.9,
3,CA,60.1,,78.0,29.85,10.0,,
3,CA,62.6,,77.0,29.9,4.0,4.6,
3,MI,43.0,37.7,76.0,30.17,10.0,9.2,0.0
2,MA,57.0,,55.0,29.95,10.0,15.0,
3,NY,69.1,,30.0,29.99,10.0,11.5,
2,OH,56.7,,93.0,30.04,10.0,,
2,VA,63.3,,97.0,30.04,0.8,,
2,NC,84.9,,44.0,30.05,10.0,6.9,
3,GA,,,,,,,
3,GA,73.0,,68.0,30.13,10.0,4.6,
2,SC,84.0,,53.0,30.09,10.0,3.5,
3,SC,90.0,,27.0,30.07,10.0,4.6,
2,SC,84.2,,48.0,30.11,10.0,4.6,
2,SC,75.0,,66.0,30.08,10.0,15.0,
2,SC,86.0,,45.0,30.05,10.0,5.8,
2,SC,75.0,,66.0,30.07,10.0,6.9,
2,GA,95.0,,27.0,30.03,10.0,8.1,
2,SC,91.4,,28.0,30.05,10.0,,
3,MN,52.0,,57.0,30.04,10.0,6.9,
2,LA,86.0,,51.0,30.01,10.0,10.4,
2,OK,70.0,,65.0,29.73,10.0,24.2,
3,TN,73.0,,61.0,30.06,10.0,4.6,
3,AL,86.0,,37.0,30.04,10.0,6.9,
2,FL,69.3,,83.0,30.14,10.0,3.5,
2,TX,77.0,,78.0,30.01,8.0,9.2,
2,TX,84.0,,58.0,30.04,10.0,16.1,
3,TX,89.1,,45.0,29.94,10.0,6.9,
2,TX,87.8,,46.0,29.94,10.0,9.2,
2,AZ,71.6,,27.0,29.72,10.0,,
2,AZ,67.1,,24.0,29.72,10.0,9.2,
2,OR,46.9,,90.0,30.26,10.0,,
2,CA,73.4,,31.0,29.8,10.0,20.7,
3,CA,73.0,,41.0,29.8,10.0,17.3,
3,CA,57.9,,90.0,29.88,6.0,,
2,CA,72.1,,35.0,29.52,10.0,24.2,
2,FL,75.9,,82.0,30.17,10.0,5.8,
2,SC,93.9,,32.0,30.08,10.0,4.6,
3,WI,61.7,,30.0,30.1,10.0,5.8,
2,AL,84.2,,42.0,30.08,10.0,6.9,
3,WA,64.0,,65.0,30.03,10.0,4.6,
3,CA,59.0,,77.0,29.93,10.0,,
3,CA,55.4,,94.0,29.96,1.2,4.6,
3,CA,57.2,,94.0,29.99,4.0,4.6,
2,MI,46.0,,91.0,30.11,2.5,,
2,NJ,53.1,,93.0,30.06,5.0,,
2,NC,91.4,,36.0,30.07,10.0,,
2,SC,86.0,,48.0,30.0,9.0,9.2,
2,OK,88.0,,48.0,29.94,10.0,16.1,
2,WA,55.9,,77.0,29.96,10.0,,
2,CA,80.1,,28.0,29.86,10.0,10.4,
3,CA,55.4,,82.0,30.03,10.0,6.9,
2,MA,51.8,,88.0,30.03,10.0,6.9,
3,MI,66.0,,87.0,29.82,7.0,6.9,0.01
2,DE,72.0,,78.0,29.97,10.0,5.8,
2,PA,57.0,,100.0,30.0,0.8,4.6,
3,VA,79.0,,69.0,29.96,10.0,8.1,
2,NC,90.0,,42.0,30.0,10.0,6.9,
2,FL,73.0,,93.0,29.95,10.0,6.9,
2,FL,75.9,,91.0,29.94,10.0,5.8,
2,FL,72.0,,97.0,30.03,1.2,11.5,0.47
2,FL,71.6,,94.0,30.0,10.0,3.5,0.0
2,FL,75.2,,78.0,30.06,10.0,,
3,WI,55.4,,94.0,29.95,2.0,6.9,0.01
3,TX,75.0,,82.0,29.95,10.0,6.9,
2,TX,84.9,,61.0,29.96,10.0,11.5,
2,OK,90.0,,50.0,29.83,10.0,20.7,
2,OK,91.0,,50.0,29.8,10.0,18.4,
2,TX,75.0,,84.0,29.95,10.0,10.4,
3,TN,73.9,,79.0,30.02,10.0,3.5,
2,AL,68.0,,90.0,30.0,6.0,,
2,OK,82.0,,56.0,29.84,10.0,8.1,
3,UT,48.2,,95.0,30.11,7.0,10.4,0.07
2,NM,72.0,,18.0,29.88,10.0,10.4,
2,TX,90.0,,10.0,29.68,10.0,6.9,
3,WA,72.0,,53.0,29.95,10.0,5.8,
2,WA,72.0,,53.0,29.95,10.0,5.8,
2,WA,79.0,,39.0,29.91,10.0,4.6,
3,CA,66.2,,56.0,29.95,10.0,11.5,
3,NY,61.0,,100.0,29.91,0.2,10.4,
3,VA,68.2,,87.0,29.97,10.0,8.1,
2,IN,68.0,,64.0,29.92,10.0,4.6,
2,NC,80.1,,69.0,30.06,10.0,15.0,
2,NC,84.0,,61.0,29.98,10.0,12.7,
2,NC,75.0,,82.0,29.98,10.0,6.9,
3,FL,70.0,,93.0,29.94,1.0,4.6,0.75
2,FL,82.9,,72.0,30.01,10.0,10.4,0.01
2,SC,71.6,,78.0,30.07,10.0,,
3,SC,71.6,,94.0,29.99,10.0,3.5,
2,SC,80.6,,74.0,30.01,7.0,11.5,
3,MN,66.0,,43.0,30.06,10.0,6.9,
2,NE,75.6,,57.0,30.0,10.0,3.5,
2,WI,63.0,,90.0,29.94,10.0,3.5,
2,IL,64.0,,90.0,29.94,10.0,3.5,
2,TX,75.2,,73.0,29.99,10.0,6.9,
3,TN,82.0,,60.0,29.96,10.0,5.8,
3,TN,82.0,,60.0,29.96,10.0,5.8,
2,AL,87.1,,48.0,29.91,10.0,5.8,
3,AL,86.5,,50.0,29.88,10.0,5.8,
2,TX,89.6,,43.0,29.87,10.0,9.2,
2,OK,75.9,,71.0,29.92,10.0,,
2,CO,66.2,,35.0,29.99,10.0,12.7,
2,WA,64.4,,73.0,29.91,10.0,6.9,
2,CA,51.8,,94.0,30.0,10.0,3.5,
3,CA,57.0,,77.0,30.01,10.0,,
2,CA,64.9,,61.0,30.06,10.0,12.7,
3,CA,68.0,,59.0,30.01,10.0,6.9,
2,MI,56.5,,64.0,30.08,10.0,,
3,MI,76.8,,38.0,29.99,10.0,5.8,
3,PA,64.0,,90.0,30.06,5.0,8.1,0.02
2,NC,71.1,,87.0,29.94,3.0,9.2,0.28
2,VA,72.0,,100.0,30.01,10.0,5.8,0.0
2,NC,73.9,,91.0,29.95,7.0,10.4,0.03
2,NC,79.0,,72.0,29.94,10.0,6.9,
2,FL,70.0,,97.0,29.92,10.0,9.2,0.0
2,FL,72.0,,93.0,29.95,10.0,9.2,
2,FL,78.1,,93.0,29.96,10.0,11.5,0.0
2,FL,80.1,,76.0,29.95,10.0,13.8,
2,SC,72.0,,93.0,29.99,10.0,4.6,
2,GA,70.0,,90.0,29.93,5.0,,0.02
2,SC,79.3,,74.0,30.0,7.0,8.1,
2,GA,75.9,,79.0,29.99,10.0,5.8,
3,TX,93.0,,34.0,29.81,10.0,4.6,
2,OK,80.1,,62.0,29.94,10.0,5.8,
2,TX,95.0,,34.0,29.82,10.0,5.8,
2,LA,89.1,,40.0,29.81,10.0,4.6,
2,MS,82.0,,67.0,29.89,10.0,3.5,
3,TX,73.4,,88.0,29.94,9.0,6.9,
2,TX,82.4,,58.0,29.96,10.0,,
2,WA,55.9,,84.0,30.04,10.0,3.5,
3,CA,57.9,,70.0,30.11,10.0,8.1,
2,CA,75.0,,36.0,30.0,10.0,11.5,
2,CA,56.7,,70.0,30.01,10.0,,
2,CA,68.0,,56.0,30.03,10.0,8.1,
3,CA,78.1,,32.0,29.92,10.0,15.0,
2,CA,72.0,,44.0,29.96,10.0,15.0,
2,DE,60.1,,93.0,29.99,10.0,8.1,
2,PA,59.0,,,30.01,4.0,,0.02
2,PA,59.0,,,30.01,7.0,,0.02
2,PA,59.0,,100.0,30.02,10.0,,
2,NJ,62.6,,82.0,30.02,3.0,,0.01
2,NY,57.0,,96.0,30.0,8.0,,0.05
3,VA,66.2,,100.0,29.98,3.0,,
2,NC,70.0,,97.0,29.91,8.0,5.8,
2,SC,80.6,,62.0,29.89,10.0,5.8,
2,VA,69.1,,96.0,29.96,9.0,,
3,NC,73.9,,85.0,29.98,10.0,6.9,
2,NC,70.0,,100.0,29.99,2.0,5.8,0.09
3,NC,73.9,,87.0,29.94,10.0,10.4,0.0
3,FL,75.9,,87.0,29.98,10.0,3.5,0.01
2,FL,75.7,,87.0,29.97,10.0,,0.0
3,SC,68.0,,94.0,29.92,10.0,,
2,SC,75.2,,89.0,29.89,10.0,5.8,
2,SC,82.0,,60.0,29.85,10.0,4.6,
2,SC,79.0,,66.0,29.83,10.0,8.1,
2,SC,73.4,,100.0,29.94,2.0,,
3,MN,64.9,,70.0,30.03,10.0,9.2,
3,MN,64.9,,70.0,30.03,10.0,9.2,
2,MN,84.0,,34.0,29.96,10.0,5.8,
2,IL,55.9,,87.0,30.03,10.0,,
2,OK,64.0,,94.0,29.94,10.0,,
2,LA,80.1,,62.0,29.89,10.0,12.7,
3,TX,91.9,,33.0,29.78,10.0,6.9,
2,TN,68.0,,93.0,29.85,10.0,5.8,0.03
2,TX,95.0,,34.0,29.82,10.0,,
2,TX,95.0,,34.0,29.79,9.0,,
2,CO,82.0,,4.0,29.6,10.0,20.7,
2,AZ,87.6,,6.0,29.76,10.0,4.6,
3,WA,61.0,,67.0,30.06,10.0,3.5,
3,CA,76.3,,45.0,29.96,10.0,10.4,
2,CA,53.1,,83.0,30.06,8.0,,
2,CA,52.0,,74.0,30.02,10.0,,
2,CA,55.9,,84.0,30.04,10.0,10.4,
2,CA,57.9,,72.0,29.93,10.0,4.6,
3,CA,59.0,,72.0,29.97,10.0,,
3,CA,69.1,,53.0,29.98,10.0,9.2,
2,CA,71.6,,43.0,29.98,10.0,11.5,
3,CA,62.1,,72.0,29.97,10.0,,
3,MI,71.2,,33.0,30.09,10.0,12.7,
2,PA,62.6,,100.0,30.2,7.0,10.4,
3,NY,64.0,,43.0,30.32,10.0,16.1,
2,PA,62.1,,67.0,30.14,10.0,11.5,
3,MD,65.3,,94.0,30.16,4.0,5.8,
2,NC,73.0,,93.0,29.96,9.0,10.4,
3,SC,77.0,,74.0,29.99,10.0,4.6,
2,SC,78.8,,69.0,29.94,10.0,5.8,
2,SC,71.4,,96.0,29.91,10.0,4.6,0.0
3,SC,69.1,,96.0,29.93,8.0,,
3,SC,80.6,,61.0,29.93,10.0,10.4,
2,NE,69.8,,74.0,29.92,10.0,6.9,
3,KS,64.9,,81.0,29.9,10.0,,
2,LA,84.2,,66.0,29.82,8.0,12.7,0.0
2,LA,73.9,,87.0,29.87,10.0,8.1,0.0
2,AL,84.9,,67.0,29.85,10.0,11.5,
2,AL,82.9,,65.0,29.86,10.0,5.8,0.0
3,TX,73.9,,79.0,29.79,10.0,9.2,
3,LA,71.6,,88.0,29.87,10.0,8.1,
2,TX,75.2,,94.0,29.84,5.0,,
2,TX,80.6,,70.0,29.83,10.0,5.8,
2,WA,64.0,,65.0,30.02,10.0,3.5,
2,CA,73.4,,50.0,29.98,10.0,5.8,
2,CA,81.0,,38.0,29.87,10.0,3.5,
3,CA,68.0,,61.0,29.96,10.0,10.4,
3,MI,73.0,,76.0,29.8,10.0,9.2,0.0
3,VA,60.8,,94.0,30.18,10.0,3.5,
2,NC,73.4,,88.0,30.13,10.0,,
2,FL,72.0,,97.0,30.1,6.0,6.9,0.01
3,SC,78.8,,61.0,30.05,7.0,3.5,
3,SC,77.0,,83.0,30.11,10.0,,
2,UT,64.4,,49.0,29.91,10.0,11.5,
2,WA,64.0,,70.0,29.97,10.0,4.6,
3,CA,66.9,,52.0,29.91,10.0,23.0,
2,CA,62.1,,60.0,30.03,10.0,16.1,
2,CA,55.0,,74.0,30.0,10.0,8.1,
3,CA,66.9,,66.0,29.92,10.0,5.8,
3,PA,73.4,,65.0,30.06,10.0,8.1,
3,FL,75.0,,96.0,30.04,2.0,15.0,0.06
3,GA,80.1,,67.0,30.11,10.0,,
2,SC,71.1,,84.0,30.14,1.5,16.1,0.19
3,FL,73.0,,100.0,30.12,9.0,3.5,
2,IA,60.8,,72.0,30.14,10.0,12.7,
3,TX,66.2,,100.0,30.08,0.8,4.6,
3,TX,69.1,,90.0,30.05,8.0,8.1,0.1
3,TX,69.1,,93.0,30.03,10.0,11.5,0.07
2,CA,61.0,,78.0,29.9,6.0,5.8,
3,CA,59.0,,88.0,29.96,7.0,,
3,CA,57.2,,100.0,29.97,3.0,,
3,MI,55.0,,80.0,30.09,6.0,3.5,0.13
2,PA,71.1,,57.0,30.22,10.0,8.1,
2,NJ,75.0,,40.0,30.13,10.0,12.7,
3,MD,69.8,,73.0,30.22,10.0,6.9,
2,NC,66.0,,100.0,30.12,6.0,4.6,0.01
3,VA,69.1,,96.0,30.1,5.0,,
2,NC,84.0,,65.0,30.11,10.0,,
3,FL,80.1,,81.0,30.04,10.0,15.0,
2,FL,75.0,,90.0,30.13,3.0,11.5,0.15
2,FL,73.9,,93.0,30.09,10.0,3.5,
3,SC,66.2,,94.0,30.14,10.0,3.5,
2,SC,78.1,,62.0,30.09,10.0,5.8,
3,FL,73.4,,100.0,30.1,7.0,3.5,
2,GA,69.1,,87.0,30.17,10.0,,
2,SC,86.0,,55.0,30.13,10.0,5.8,
2,MN,70.0,,49.0,29.98,10.0,8.1,
3,KS,60.1,,100.0,30.06,2.0,6.9,
2,WI,44.6,43.1,71.0,30.18,10.0,3.5,
3,WI,54.0,,97.0,30.15,0.8,10.4,0.03
2,OK,73.2,,69.0,30.08,10.0,8.1,
2,TX,81.0,,67.0,29.93,10.0,12.7,
2,CO,73.9,,18.0,29.84,10.0,15.0,
2,AZ,87.6,,9.0,29.63,10.0,18.4,
2,TX,84.9,,31.0,29.73,10.0,6.9,
3,WA,54.0,,80.0,30.08,10.0,5.8,
3,CA,53.1,,83.0,29.89,10.0,,
2,CA,78.8,,34.0,29.78,10.0,9.2,
3,CA,62.1,,75.0,29.88,10.0,8.1,
2,CA,64.0,,67.0,29.88,10.0,5.8,
2,CA,63.0,,63.0,29.86,10.0,6.9,0.0
3,NY,55.9,,97.0,30.03,4.0,6.9,0.03
2,CT,60.1,,86.0,30.1,2.5,3.5,0.06
2,PA,,,,,,,
2,NC,80.6,,61.0,30.18,10.0,6.9,
2,FL,77.0,,84.0,30.09,10.0,8.1,
2,SC,79.0,,69.0,30.08,10.0,9.2,0.0
2,SC,75.0,,82.0,30.06,10.0,6.9,0.01
3,MN,75.9,,48.0,30.01,10.0,6.9,
3,KS,,,,,,,
2,MO,84.9,,48.0,29.98,10.0,5.8,
2,IL,57.9,,97.0,30.01,1.2,3.5,
3,IA,63.0,,90.0,30.06,5.0,6.9,
2,LA,78.1,,87.0,30.02,10.0,,
3,TX,70.0,,87.0,29.95,10.0,3.5,
2,LA,82.9,,67.0,30.05,10.0,4.6,
2,LA,88.0,,49.0,30.01,10.0,3.5,
2,TN,81.0,,60.0,30.09,10.0,4.6,
3,TN,73.9,,73.0,30.08,10.0,5.8,
2,TX,75.0,,50.0,29.8,10.0,8.1,
2,WA,63.0,,63.0,29.96,10.0,4.6,
2,WA,71.1,,53.0,29.86,10.0,5.8,
3,CA,73.4,,50.0,29.86,10.0,8.1,
3,CA,64.9,,61.0,29.82,10.0,16.1,
2,CA,66.9,,54.0,29.92,10.0,3.5,
3,CA,64.9,,61.0,29.85,10.0,15.0,
3,NY,61.0,,93.0,29.93,2.5,3.5,
2,DE,79.0,,47.0,30.0,10.0,,
2,NC,78.1,,74.0,30.08,10.0,6.9,
2,FL,78.1,,79.0,30.14,10.0,8.1,
2,FL,75.9,,91.0,30.07,10.0,4.6,
2,SC,72.1,,92.0,30.04,10.0,9.2,
2,SC,75.9,,85.0,30.1,10.0,9.2,0.03
3,FL,83.3,,67.0,30.1,10.0,3.5,
2,SC,78.8,,78.0,30.06,10.0,,
3,MN,66.9,,81.0,30.09,10.0,10.4,
2,MN,80.1,,50.0,30.06,10.0,10.4,
2,IL,64.9,,84.0,30.19,8.0,,
2,IL,64.9,,84.0,30.19,8.0,,
3,TX,73.0,,96.0,30.03,3.0,3.5,
2,OK,84.9,,51.0,30.02,10.0,10.4,
3,FL,70.0,,97.0,30.07,9.0,3.5,
2,TX,,,,,,,
2,CO,53.6,,72.0,30.06,30.0,,
2,WA,69.1,,54.0,29.77,10.0,12.7,
2,CA,60.1,,83.0,29.96,10.0,5.8,
2,CA,57.2,,82.0,30.0,7.0,6.9,
2,CA,72.0,,49.0,29.9,10.0,6.9,
3,CA,72.0,,49.0,29.91,9.0,8.1,
2,MA,73.0,,27.0,30.12,10.0,19.6,
2,MI,81.0,,31.0,30.11,10.0,5.8,
3,NY,57.9,,56.0,30.15,10.0,,
2,NC,82.9,,54.0,30.15,10.0,8.1,
2,SC,78.1,,87.0,30.1,10.0,4.6,0.01
3,SC,80.1,,67.0,30.06,10.0,6.9,
2,SC,71.6,,100.0,30.1,10.0,6.9,
2,OK,73.0,,76.0,30.03,10.0,4.6,
3,OK,84.9,,55.0,29.94,10.0,12.7,
2,LA,73.0,,90.0,30.06,10.0,,
2,TX,87.8,,53.0,30.08,10.0,5.8,
2,TX,,,,,,,
3,CO,57.2,,55.0,30.15,10.0,,
2,CA,82.0,,35.0,29.92,10.0,8.1,
2,CA,59.0,,83.0,30.03,10.0,,
3,CA,60.1,,93.0,30.08,2.0,,0.01
3,CA,64.9,,65.0,30.1,10.0,9.2,
3,MA,84.9,,32.0,29.83,10.0,15.0,
3,NH,87.1,,22.0,29.79,10.0,17.3,
3,MA,82.0,,31.0,29.82,10.0,21.9,0.0
3,MA,87.1,,22.0,29.78,10.0,18.4,
3,NY,82.4,,35.0,29.78,15.0,5.8,
2,NY,82.9,,32.0,29.83,10.0,18.4,
2,NJ,84.9,,41.0,29.89,10.0,5.8,
3,NY,84.0,,35.0,29.81,10.0,10.4,
3,VA,65.1,,75.0,30.14,10.0,3.5,
2,IN,66.0,,78.0,30.0,10.0,,
2,KY,68.0,,73.0,30.01,10.0,,
2,NC,78.8,,65.0,30.13,10.0,5.8,
2,NC,,,,,,,
3,VA,84.0,,44.0,30.02,10.0,6.9,
2,FL,78.1,,90.0,30.01,10.0,8.1,
3,FL,,,,,,,
2,FL,75.0,,96.0,30.04,10.0,6.9,
3,GA,69.1,,93.0,30.01,10.0,4.6,
2,SC,79.0,,77.0,30.12,10.0,9.2,
2,IL,72.0,,64.0,29.91,10.0,8.1,
2,IL,84.0,,47.0,29.87,10.0,9.2,
2,IL,89.1,,35.0,29.77,10.0,8.1,
2,TX,82.9,,63.0,29.95,10.0,8.1,
2,LA,87.1,,61.0,29.99,10.0,3.5,
2,TN,73.9,,76.0,30.01,10.0,5.8,
2,CO,78.8,,17.0,29.92,10.0,10.4,0.0
2,AZ,101.1,,8.0,29.82,10.0,6.9,
2,CA,53.6,,82.0,30.1,10.0,4.6,
2,CA,51.1,,89.0,30.1,10.0,3.5,
2,MI,69.1,,78.0,29.82,10.0,4.6,
3,PA,82.0,,62.0,29.83,10.0,8.1,0.0
2,NC,77.0,,83.0,29.99,8.0,10.4,
2,NC,78.8,,78.0,29.92,10.0,8.1,
2,SC,82.9,,65.0,29.95,8.0,9.2,
3,AL,78.1,,71.0,29.94,9.0,,
3,NM,66.2,,15.0,30.11,10.0,3.5,
2,WA,60.8,,72.0,30.19,10.0,,
3,CA,59.0,,78.0,30.05,10.0,5.8,
3,CA,62.1,,62.0,30.09,10.0,5.8,
3,CA,64.0,,60.0,30.07,10.0,8.1,
2,CA,59.0,,81.0,30.04,10.0,6.9,
3,RI,59.0,,87.0,30.1,8.0,17.3,
2,FL,82.9,,74.0,29.81,10.0,17.3,
3,FL,77.0,,89.0,29.75,10.0,8.1,
2,SC,73.4,,94.0,29.96,10.0,10.4,
2,CA,78.1,,40.0,29.94,10.0,11.5,
3,CA,69.1,,54.0,29.91,10.0,3.5,
2,CA,66.2,,56.0,29.94,10.0,5.8,
2,MI,91.2,,32.0,29.94,10.0,3.5,
2,NJ,57.9,,90.0,30.1,7.0,6.9,
2,DE,68.0,,84.0,30.05,10.0,11.5,
3,MD,62.6,,94.0,30.1,6.0,4.6,
3,TN,73.0,,90.0,29.89,1.5,4.6,0.17
2,NC,69.8,,100.0,30.01,10.0,,
2,NC,71.1,,100.0,29.97,4.0,5.8,0.02
2,FL,84.4,,69.0,29.9,10.0,18.4,
3,SC,73.0,,93.0,29.96,2.0,11.5,0.1
3,GA,80.1,,81.0,29.8,10.0,8.1,
2,MN,80.1,,54.0,29.82,10.0,,
3,WI,84.2,,40.0,29.95,10.0,8.1,
2,TX,93.0,,37.0,29.76,10.0,5.8,
2,OK,86.2,,53.0,29.82,10.0,9.2,
2,AZ,84.7,,12.0,29.71,10.0,6.9,
3,RI,69.1,,78.0,29.98,10.0,6.9,
2,MA,88.0,,37.0,29.98,10.0,4.6,
2,PA,69.1,,93.0,30.02,3.0,3.5,
